37,1,39,0,39.5,.25,91,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,2,91,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,.25,35.00,0,35.50,.25,37.00,.125,37.50,.125,38.25,.125,40.00,.5,85.00,.125,87.00,.125,87.75,.125,88.00,0,90.50,.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.5,2.25,42.00,1.25,42.50,1.25,92.00,.25,93.00,.25,93.75,0,94.00,.125,97.25,.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.00,2.5,36.00,0.125,36.50,.125,37.50,.125,38.00,0,38.50,0,39.00,.125,94.00,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32.00,1.75,35.25,0.25,36.75,.25,37.75,.25,39.50,.25,92.00,.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.00,4,50.00,1,52.50,1,90.00,1,91.50,1,96.00,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.00,.25,88.00,0.25,90.50,.5,92.50,.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.50,.25,39.00,0.125,40.50,0.125,42.00,0.125,42.50,0.125,44.25,0.125,46.00,0.125,49.00,0.125,50.50,0.125,55.75,0.125,60.00,0.125,61.00,0.125,60.50,0.125,60.75,0.125,70.00,0.125,87.00,0.125,88.25,0.125,88.75,0.125,89.50,0.125,90.00,0.125,,,,,,,,,,,,
34.00,1,35.50,0.5,36.50,.5,39.00,.5,40.50,.5,41.25,.25,91.00,.25,93.25,.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.00,1,32.00,1,34.50,1,38.50,1,50.50,.25,52.25,.25,91.00,1,94.25,1,96.00,1,98.75,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.25,.5,40.00,0.125,41.50,.125,43.00,.125,97.50,.125,99.50,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.00,2,35.00,0.25,36.50,.25,37.75,.25,39.50,.25,93.25,3,96.00,1,98.25,.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.00,.25,30.00,0.25,37.50,.25,38.00,.25,37.50,.25,38.25,.125,40.00,.125,84.50,.25,85.00,0,87.00,0,89.00,0,92.50,0,93.00,0,94.50,0,,,,,,,,,,,,,,,,,,,,,,,,
34.00,3,40.00,0.125,41.50,0.125,43.00,0.125,45.50,0.125,80.25,1,83.00,.5,87.25,1,88.00,.125,89.75,0.125,92.50,0.125,95.50,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.00,.25,24.00,0.25,39.50,1.5,71.00,.125,71.25,.125,93.25,.125,94.50,.125,99.25,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.50,1,43.00,1,45.50,.125,90.50,0,95.50,1.25,100.25,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40.00,.25,42.00,0.125,42.25,.125,44.25,.025,44.50,.025,46.50,.025,46.75,.025,48.75,.025,49.00,.025,49.75,.025,50.25,.025,50.75,.025,51.25,.025,51.75,.025,52.70,.025,91.75,.5,,,,,,,,,,,,,,,,,,,,
35.00,1,45.00,1,47.50,.75,93.50,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.00,2.5,37.00,0.125,38.50,0.125,89.50,1,91.50,0.125,92.25,0.125,94.50,0.125,99.00,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34.00,1.5,90.00,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.00,0,20.00,0,20.75,0,21.50,0,22.25,0,23.00,0,23.75,0,24.50,0,25.25,0,26.00,0,26.75,0,27.50,0,28.25,0,29.00,0,29.75,0,30.50,0,31.25,0,32.00,0,32.75,0,33.50,0,34.25,0,35.00,0,35.75,0,36.50,0,39.50,0,94.25,0
25.00,0,25.66,0,26.98,0,27.64,0,28.30,0,29.96,0,29.62,0,30.28,0,30.25,0,30.94,0,31.60,0,32.26,0,32.92,0,33.58,0,34.24,0,34.90,0,35.56,0,36.22,0,36.88,0,37.54,0,38.20,0,38.86,0,39.52,0,40.18,0,41.18,0,90.18,0
32.00,0,32.58,0,33.16,0,33.74,0,34.32,0,34.90,0,35.48,0,36.06,0,36.64,0,37.22,0,37.80,0,38.38,0,38.96,0,39.54,0,40.12,0,40.70,0,41.28,0,41.86,0,42.44,0,43.02,0,43.60,0,44.18,0,44.76,0,45.34,0,47.34,0,92.34,0